CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
00.832.019/0001-02;2005-07-26;Fundo Multimercado;2005-07-20;
00.832.021/0001-73;2005-07-26;Fundo Multimercado;2005-07-20;2014-10-24
00.832.021/0001-73;2005-07-26;Fundo de Renda Fixa;2014-10-24;
00.832.122/0001-44;2005-02-15;Fundo Referenciado;2005-02-01;
00.832.124/0001-33;2005-02-15;Fundo Referenciado;2005-02-01;
00.832.407/0001-85;2005-03-22;Fundo de Renda Fixa;2005-03-11;
00.832.409/0001-74;2005-04-05;Fundo Referenciado;2005-03-28;
00.832.414/0001-87;2005-03-16;Fundo Referenciado;2005-03-07;2016-01-26
00.832.414/0001-87;2005-03-16;Fundo de Renda Fixa;2016-01-26;
00.832.424/0001-12;2005-03-22;Fundo de Renda Fixa;2005-03-11;
00.832.431/0001-14;2005-03-22;Fundo de Renda Fixa;2005-03-11;
00.832.435/0001-00;2005-03-16;Fundo Referenciado;2005-03-07;2016-01-19
00.832.435/0001-00;2005-03-16;Fundo de Renda Fixa;2016-01-19;
00.832.443/0001-49;2005-03-18;Fundo de Renda Fixa;2005-03-08;
00.832.445/0001-38;2005-03-16;Fundo Referenciado;2005-03-07;2016-01-18
00.832.445/0001-38;2005-03-16;Fundo de Renda Fixa;2016-01-18;
00.832.449/0001-16;2005-03-18;Fundo de Curto Prazo;2005-03-09;
00.832.453/0001-84;2005-04-15;Fundo de Curto Prazo;2005-03-31;2016-05-30
00.832.453/0001-84;2005-04-15;Fundo de Renda Fixa;2016-05-30;
00.832.454/0001-29;2005-04-15;Fundo Multimercado;2005-03-31;
00.832.587/0001-03;2005-03-30;Fundo Referenciado;2005-03-22;2012-05-31
00.832.587/0001-03;2005-03-30;Fundo de Renda Fixa;2012-05-31;
00.832.588/0001-40;2005-03-30;Fundo de Renda Fixa;2005-03-22;
00.832.689/0001-10;2005-01-14;Fundo de Renda Fixa;2005-01-01;
00.832.696/0001-12;2005-02-16;Fundo de Renda Fixa;2005-01-01;
